language,language_label,lexicalisations,records,text_similarity_mean,text_similarity_p05,triple_similarity_mean,triple_similarity_p05,predicate_similarity_mean,predicate_similarity_p05,predicate_aligned_instances,structured_predicate_review_rate,minimum_triple_coverage_mean,coverage_calibrated_instances,coverage_pass_rate,minimum_text_groundedness_mean,groundedness_calibrated_instances,groundedness_pass_rate,target_literal_eligible,target_text_literal_retention_mean,target_text_full_literal_retention_rate,source_literal_eligible,source_target_literal_preservation_mean,source_target_full_literal_preservation_rate,audited_instances,english_eligible_instances,target_successes_among_english_eligible,relative_literal_retention
ca,Catalan,45031,16653,0.9492825572765373,0.8370971083641052,0.907104469358753,0.7733004689216614,0.747736711855465,0.46165282279253006,45031,0.042193155825986546,0.49699266649427054,45031,0.8165041860051965,0.5995738881791465,45031,0.8790166774000133,18050,0.9393532475526934,0.8735734072022161,18131,0.9788794163814846,0.9524571176438145,45031,15244,14243,0.9343348202571503
es,Spanish,45031,16653,0.9528810111060217,0.8542643487453461,0.9111587486714267,0.789861261844635,0.778341693030116,0.5166418254375458,45031,0.0,0.5055135922948091,45031,0.8350025537962736,0.5998124956476466,45031,0.8860118584974795,18133,0.962261417938912,0.9283075056526774,18131,0.9883283300634799,0.9784347250565331,45031,15244,14852,0.9742849645762267
