triple_count,coverage_threshold,groundedness_threshold,english_coverage_instances,english_groundedness_instances,calibration_percentile
1,0.5896280944347382,0.5231981992721558,9660,9660,0.05
2,0.4160341203212738,0.4842067241668701,8905,8905,0.05
3,0.33754532784223557,0.4270522966980934,9536,9536,0.05
4,0.28582777082920074,0.3673718720674515,8851,8851,0.05
5,0.25082006603479384,0.3705099388957024,6358,6358,0.05
6,0.28427766263484955,0.27980799973011017,931,931,0.05
7,0.27274672240018843,0.24871756434440614,790,790,0.05
