metric,paired_lexicalisations,record_clusters,mean_difference_catalan_minus_spanish,cluster_bootstrap_ci_low,cluster_bootstrap_ci_high,bootstrap_replicates
text_similarity,45031,16653,-0.0035984538294844336,-0.004254349264972504,-0.0029363947552164564,1000
triple_similarity,45031,16653,-0.004054279312673748,-0.005073868838775261,-0.0029621101900501995,1000
predicate_similarity,45031,16653,-0.030604981174650943,-0.03253430824255827,-0.028466812961187894,1000
minimum_triple_coverage,45031,16653,-0.00852092580053855,-0.009928378165690433,-0.007117626364024078,1000
minimum_text_groundedness,45031,16653,-0.0002386074685000739,-0.0014115081400039417,0.0009464875310813798,1000
target_text_literal_retention,17987,6557,-0.022508487972434158,-0.025417531309623702,-0.019451195651263815,1000
source_target_literal_preservation,18131,6613,-0.009448913681995146,-0.012449525951107255,-0.006721750320490332,1000
