model_name,lang,split,n,bleu_sentence,rougeL_f1,meteor,chrfpp,bertscore_precision,bertscore_recall,bertscore_f1,bert_cosine,e5_cosine,expansion_ratio,expansion_abs_distance_from_1,bleu_corpus
HuggingFaceTB/SmolLM3-3B,ca,test,1779,0.23859448786048887,0.48032066902596976,0.4196715529379903,0.5219346803120869,0.8271881051784556,0.8402934146101653,0.8331448064552659,0.8560329514349894,0.9224473709735795,1.1511193180736938,0.245709801356115,0.2386728934264023
HuggingFaceTB/SmolLM3-3B,en,test,1779,0.4511086211133688,0.6330274235286825,0.6324898555903847,0.6790616054623866,0.8841523192718231,0.8906570751389605,0.8871963146096069,0.9156516621861985,0.9175359467363813,1.0150220579249523,0.08034179614216884,0.45457320793037004
HuggingFaceTB/SmolLM3-3B,en_bt,test,1779,0.4451318154443533,0.6317320260599097,0.6323088251654089,0.6736546340164784,0.8827373073836804,0.8917669735308642,0.8870250370946072,0.9140968235977048,0.9167717699926847,1.0247841929118353,0.08691375129414529,0.446469610291018
HuggingFaceTB/SmolLM3-3B,es,test,1779,0.3345397439906774,0.5434885057793741,0.48608691953030786,0.5863259128738836,0.8536400971887084,0.8658047786852562,0.8592742539108839,0.8868828893645953,0.9216730375180022,1.0737288938164,0.1570438073784179,0.3640534465124246
HuggingFaceTB__SmolLM3-3B__CA-silver-filtered__CA-silver-filtered,ca,test,1779,0.30711906658069077,0.45886339018821154,0.5007150319229725,0.5530828894856541,0.8091486115144705,0.8362304357211867,0.8215299982780684,0.8375511103429575,0.9244559945652765,1.5565962439702916,0.6081721875119072,0.2574092368259226
HuggingFaceTB__SmolLM3-3B__CA-silver-filtered__CA-silver-filtered,en,test,1779,0.1070100648458871,0.24028215353917753,0.4220365124955687,0.4029296201236153,0.6357006186042494,0.7762430783333975,0.6983824211134544,0.673621234982921,0.9095523333268061,5.261881838385516,4.262851898604289,0.1083433496063691
HuggingFaceTB__SmolLM3-3B__CA-silver-filtered__CA-silver-filtered,en_bt,test,1779,0.10551310951494161,0.23807396827173402,0.420958783189238,0.3989793156811136,0.6340286839269667,0.7757786580054126,0.6971862080259361,0.6708467886848621,0.9084460004921239,5.366522976281701,4.367421292767761,0.1067781216018517
HuggingFaceTB__SmolLM3-3B__CA-silver-filtered__CA-silver-filtered,es,test,1779,0.0759526746105682,0.20533154743597531,0.2752864974579441,0.3402837439884193,0.6451467533437236,0.7495762424029414,0.6928061198625356,0.6521293526288162,0.8935986034249643,3.9766100777530373,2.979646521322013,0.06515513711494321
HuggingFaceTB__SmolLM3-3B__CA-silver__CA-silver,ca,test,1779,0.34823644869697035,0.5060275981187191,0.532095183969149,0.5916951341667639,0.8431683806236572,0.8526551932548793,0.8475741157041231,0.8721412460813367,0.9302802132447828,1.086936598961161,0.1514558755751344,0.3748766024340762
HuggingFaceTB__SmolLM3-3B__CA-silver__CA-silver,en,test,1779,0.1282992476720895,0.27642562474915944,0.43595696613153206,0.4231372098865396,0.6649443332300621,0.7772532905200146,0.7154387259764776,0.6952895103310386,0.9115054593989526,4.7205619463799,3.7345295401695395,0.12510986977737237
HuggingFaceTB__SmolLM3-3B__CA-silver__CA-silver,en_bt,test,1779,0.12890199589117968,0.27584706318865615,0.4379134047695041,0.4220055670845454,0.663698974873257,0.7779669048010197,0.715031248170248,0.6937498759191447,0.910598486377122,4.808274424792122,3.819088380653776,0.12507330381269338
HuggingFaceTB__SmolLM3-3B__CA-silver__CA-silver,es,test,1779,0.12871505023482663,0.2879732864006051,0.3451134258605351,0.4059556802198224,0.6887644431174237,0.7670283773228183,0.7247928842659276,0.7058649171162616,0.8983387772858712,3.2984514497728386,2.317810020371213,0.10032532241621064
HuggingFaceTB__SmolLM3-3B__EN-backtrans-from-CA__EN-backtrans-from-CA,ca,test,1779,0.11866293588629667,0.3044582150361388,0.2196925496267107,0.3799093201664204,0.8333709871185971,0.8180480203379266,0.8253847897689351,0.7478228802088608,0.8915104011661086,0.9733209618472768,0.09457861702035286,0.12789539731798732
